price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,paint_color
10950,2009,lexus,rx350,excellent,6 cylinders,gas,191955,automatic,4wd,SUV,white
13950,2006,lexus,gx470,good,8 cylinders,gas,178790,automatic,4wd,SUV,
1800,1998,toyota,rav4,good,4 cylinders,gas,240537,manual,,,green
21250,2002,ford,thunderbird,new,8 cylinders,gas,15996,automatic,fwd,convertible,yellow
4500,2008,ford,mustang,,6 cylinders,gas,187016,automatic,rwd,coupe,red
39590,2020,chevrolet,silverado 1500 crew,good,8 cylinders,gas,19160,other,,pickup,red
26990,2017,nissan,titan single cab sv,good,8 cylinders,gas,41335,other,4wd,pickup,red
4299,2007,nissan,sentra,,4 cylinders,gas,189321,automatic,fwd,sedan,silver
3950,2008,kia,spectra ex,excellent,4 cylinders,gas,247377,automatic,,sedan,
5900,1998,ford,f150,excellent,8 cylinders,gas,214000,automatic,,truck,red
33990,,,lac XT5 Crossover,,6 cylinders,gas,48784,automatic,fwd,SUV,black
34995,2012,dodge,charger limousine,,,gas,41000,automatic,,,
3200,2005,ford,focus,good,4 cylinders,gas,189886,automatic,,,
3495,1999,ford,windstar,good,6 cylinders,gas,135448,automatic,,,
6500,2002,ford,sport trac,good,6 cylinders,gas,114775,automatic,,,
16988,2008,toyota,fj cruiser,,,gas,188099,automatic,4wd,,
16988,2018,nissan,altima,,,gas,57517,automatic,fwd,,silver
26990,2018,nissan,frontier,,,gas,31814,automatic,rwd,,black
32186,2021,toyota,tacoma,,,gas,1443,automatic,rwd,,
16477,2015,buick,enclave,,,gas,103969,automatic,fwd,,black
58977,2019,gmc,sierra 3500,,,gas,66368,automatic,4wd,,white
30990,2016,chevrolet,silverado 1500 double,good,6 cylinders,gas,58116,other,,pickup,silver
6900,2009,honda,ridgeline,fair,,gas,198000,automatic,4wd,,
3750,1997,ford,f150,,,gas,150000,automatic,,,
2500,1976,chevrolet,malibu classic,,,gas,100,automatic,,,
3500,2003,toyota,camry,good,4 cylinders,gas,237000,automatic,,,
1300,1969,mercedes-benz,benz,,,gas,12774,automatic,,,
25990,2016,bmw,5 series,,6 cylinders,gas,75123,automatic,,sedan,black
8000,2013,kia,optima,excellent,4 cylinders,gas,119000,automatic,,,white
32000,2008,chevrolet,silverado 2500,good,8 cylinders,diesel,109600,automatic,4wd,truck,white
3399,2006,buick,lacrosse,,6 cylinders,gas,160218,automatic,fwd,sedan,blue
4000,2002,toyota,echo,excellent,4 cylinders,gas,155000,automatic,fwd,sedan,blue
3900,2009,hyundai,elantra,,4 cylinders,gas,162005,automatic,rwd,sedan,white
3000,2004,chevrolet,blazer,good,6 cylinders,gas,131500,automatic,4wd,SUV,white
2800,2009,nissan,versa,,,gas,109000,automatic,,,
2500,1995,bmw,525i,fair,6 cylinders,gas,110661,automatic,rwd,sedan,white
53000,2006,,Sterling Acterra,,,diesel,160322,automatic,,,
33590,2014,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,57923,other,,pickup,white
12500,2008,gmc,yukon xl,excellent,8 cylinders,gas,177326,automatic,rwd,SUV,black
15990,2017,ford,c-max hybrid se wagon 4d,good,,hybrid,48195,other,fwd,wagon,blue
2500,2008,honda,accord,good,6 cylinders,gas,204561,automatic,fwd,sedan,silver
20995,2011,chevrolet,silverado 1500 ltz crew cab 4wd,,,,137701,automatic,4wd,pickup,
25995,2015,chevrolet,silverado 1500 lt crew cab 4wd,,,,151681,automatic,4wd,pickup,
31995,2014,chevrolet,silverado 1500 2lt crew cab long box 4wd,,,,66738,automatic,4wd,pickup,
5500,1978,ford,f-150,good,8 cylinders,gas,239000,automatic,,truck,green
29000,2005,ford,f750,,,diesel,77124,automatic,,,
27990,2012,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696,other,4wd,pickup,black
24990,2018,gmc,canyon extended cab pickup,good,,other,32329,other,,pickup,
10990,2011,mercedes-benz,ml350,excellent,6 cylinders,gas,119172,automatic,4wd,SUV,
3300,1999,chrysler,300m,,6 cylinders,gas,162026,automatic,fwd,sedan,
27000,1954,ford,f100,,,gas,6000,manual,,,
27995,2017,ford,f-150,,,gas,101000,automatic,4wd,,
8100,2011,ford,escape,excellent,6 cylinders,hybrid,140000,automatic,fwd,SUV,white
20000,1979,chevrolet,malibu,like new,8 cylinders,gas,1234,automatic,rwd,,black
3999,2003,infiniti,g35 sedan,,6 cylinders,gas,233830,automatic,rwd,sedan,
23500,1970,chevrolet,monte carlo,excellent,,gas,18678,automatic,,,
5300,2009,jeep,grand cherokee laredo,excellent,6 cylinders,gas,178000,automatic,4wd,,
45900,2017,,Maserati Levante,,6 cylinders,gas,36083,automatic,,SUV,white
5500,1974,mercedes-benz,1929 ssk replica,good,4 cylinders,gas,9999,automatic,rwd,convertible,yellow
3500,1996,chevrolet,tahoe,excellent,8 cylinders,gas,237000,automatic,4wd,offroad,black
16902,2020,toyota,corolla,,,gas,11692,automatic,fwd,,black
12307,2018,kia,soul,,,gas,95056,automatic,fwd,,red
37500,2018,ford,f-150,,,gas,30026,automatic,4wd,,blue
21688,2020,nissan,kicks,,,gas,7575,automatic,fwd,,
29990,2016,chevrolet,colorado extended cab,good,6 cylinders,gas,17302,other,4wd,pickup,red
35590,2010,chevrolet,corvette convertible,good,8 cylinders,gas,31879,other,rwd,other,red
18977,2017,kia,sorento,,,gas,70014,automatic,fwd,,
6877,2007,nissan,pathfinder,,,gas,155471,automatic,rwd,,
500,2021,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400,other,,bus,green
12500,2015,volkswagen,passat tdi,excellent,,diesel,101000,automatic,,,white
27998,2008,porsche,cayman,,6 cylinders,gas,69505,automatic,rwd,coupe,black
6800,2004,mercedes-benz,clk320,good,6 cylinders,gas,116700,automatic,rwd,convertible,silver
45000,2017,chevrolet,silverado,excellent,8 cylinders,gas,92000,automatic,4wd,truck,red
2550,2004,cadillac,srx,,6 cylinders,gas,224105,automatic,rwd,SUV,white
12500,2015,ford,taurus,like new,,gas,90000,automatic,fwd,,white
3800,2011,nissan,altima,,,gas,155000,automatic,,,
2500,1987,,1987 Saab 900 Turbo,fair,4 cylinders,gas,125000,manual,fwd,coupe,silver
2975,2006,,Suzuki XL-7,,6 cylinders,gas,217353,automatic,rwd,SUV,white
7980,2013,bmw,x3,,4 cylinders,gas,156295,manual,rwd,SUV,white
7800,2005,honda,accord ex-l,excellent,4 cylinders,gas,155000,manual,,,
9000,2008,mazda,miata mx-5,excellent,4 cylinders,gas,56700,automatic,rwd,convertible,white
5980,2005,cadillac,sts,,8 cylinders,gas,129448,automatic,rwd,sedan,white
13500,2000,chevrolet,corvette,like new,8 cylinders,gas,92000,manual,,hatchback,black
19950,1955,chevrolet,bel air,good,8 cylinders,gas,96867,automatic,rwd,sedan,green
5980,2005,acura,tl,,6 cylinders,gas,179721,automatic,fwd,sedan,silver
2675,1996,toyota,camry,,4 cylinders,gas,164719,automatic,fwd,sedan,green
5980,2006,nissan,murano,,6 cylinders,gas,178388,automatic,fwd,SUV,white
34995,2018,ram,2500,,,diesel,211000,automatic,4wd,,
6980,2011,kia,sorento,,6 cylinders,gas,182321,other,rwd,SUV,
31990,2017,jeep,wrangler sport s utility 2d,good,6 cylinders,gas,891,other,4wd,other,white
6980,2008,toyota,avalon,,6 cylinders,gas,158888,automatic,fwd,sedan,silver
11500,2013,honda,odyssey ex,good,,gas,92000,automatic,,van,silver
987654321,1960,chevrolet,,,,gas,999999,manual,,,
2600,2000,buick,lesabre,,6 cylinders,gas,212061,automatic,fwd,sedan,blue
4980,2007,ford,edge,,6 cylinders,gas,178095,automatic,4wd,sedan,white
26995,2015,ford,f-350,,,diesel,247000,automatic,4wd,,
27990,2014,toyota,tacoma access cab pickup,good,,other,17805,other,,pickup,red
32990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,30041,other,4wd,other,silver
34995,2018,ram,1500,,,gas,104000,automatic,rwd,,
5980,2010,gmc,terrain,,4 cylinders,gas,208359,manual,rwd,SUV,red
4500,2014,ford,f250 xl,,,gas,250000,automatic,,,
5480,2013,chevrolet,captiva sport,,4 cylinders,gas,182711,automatic,fwd,SUV,grey
16990,2016,kia,forte koup ex coupe 2d,good,,gas,17631,other,fwd,coupe,
37590,2019,ford,f150 supercrew cab xl,good,6 cylinders,gas,8663,other,,pickup,
3975,2010,chevrolet,cobalt,,4 cylinders,gas,162455,automatic,fwd,sedan,silver
6480,2008,buick,enclave,,6 cylinders,gas,183858,automatic,rwd,SUV,
22900,2013,dodge,grand caravan,,6 cylinders,gas,68228,automatic,fwd,,silver
24997,2014,mercedes-benz,m-class,,8 cylinders,gas,82553,automatic,,SUV,blue
6700,2011,nissan,murano,excellent,6 cylinders,gas,184000,automatic,,,silver
26500,2019,nissan,rogue sport,,,gas,9975,automatic,,,red
27988,2020,nissan,altima,,,gas,15139,automatic,,,blue
20870,2019,infiniti,qx30,,,gas,29938,automatic,fwd,,red
26988,2018,nissan,pathfinder,,,gas,24274,automatic,4wd,,white
19990,2017,subaru,legacy 2.5i premium sedan,good,,gas,10309,other,,sedan,white
19877,2011,ram,2500,,,diesel,183284,automatic,,,white
11977,2015,gmc,terrain,,,gas,106591,automatic,fwd,,silver
29998,2014,mercedes-benz,cls,,8 cylinders,gas,57406,automatic,rwd,sedan,grey
12895,1991,chevrolet,corvette,,8 cylinders,gas,43725,automatic,rwd,hatchback,
3650,1999,jeep,grand cherokee,,6 cylinders,gas,151379,automatic,rwd,SUV,blue
8500,2006,rover,,good,8 cylinders,gas,139445,automatic,4wd,SUV,white
3299,2003,chevrolet,cavalier,,4 cylinders,gas,176354,automatic,fwd,coupe,
4499,2005,toyota,camry,,4 cylinders,gas,170687,automatic,fwd,sedan,blue
5940,2011,kia,soul,,4 cylinders,gas,163385,manual,rwd,wagon,white
3999,2009,volvo,s60,,5 cylinders,gas,182005,automatic,fwd,sedan,silver
8980,2011,jeep,grand cherokee,,6 cylinders,,173787,manual,rwd,SUV,silver
4950,2001,toyota,4runner limited,,6 cylinders,gas,266000,automatic,rwd,SUV,white
4980,2010,chevrolet,traverse,,6 cylinders,gas,208122,manual,rwd,SUV,silver
4400,2006,buick,lacrosse,,6 cylinders,gas,124201,automatic,fwd,sedan,white
8980,2010,dodge,charger,,8 cylinders,gas,207260,automatic,rwd,sedan,black
33590,2014,toyota,tundra crewmax sr5 pickup,good,,other,55251,other,,pickup,red
39590,2020,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,1419,other,rwd,coupe,white
26590,2017,honda,pilot lx sport utility 4d,good,6 cylinders,gas,13836,other,,other,blue
21990,2018,buick,regal sportback preferred,good,,gas,4988,other,fwd,sedan,white
19990,2017,hyundai,sonata plug-in hybrid,good,,hybrid,29254,manual,fwd,sedan,white
30990,2019,ford,ranger supercrew xl pickup,good,,other,1834,other,,pickup,black
6980,2006,nissan,pathfinder,,6 cylinders,gas,146779,automatic,rwd,SUV,silver
4100,2010,hyundai,elantra touring,,4 cylinders,gas,130206,manual,fwd,wagon,grey
7980,2015,kia,forte,,4 cylinders,gas,121682,automatic,fwd,sedan,black
9980,2013,infiniti,jx35,,6 cylinders,gas,171226,automatic,fwd,SUV,white
19500,2008,ram,3500,good,6 cylinders,diesel,161000,manual,4wd,truck,silver
2300,1997,buick,lesabre,,6 cylinders,gas,201566,automatic,fwd,sedan,green
10980,2007,gmc,yukon xl denali,,8 cylinders,gas,181633,automatic,,SUV,black
15000,2009,toyota,tacoma 4x4,good,6 cylinders,gas,213800,automatic,4wd,truck,silver
14897,2012,jeep,grand cherokee,,6 cylinders,gas,112510,other,rwd,SUV,silver
11400,2013,kia,sportage,,4 cylinders,gas,92986,other,4wd,SUV,blue
10980,2012,ford,mustang,,6 cylinders,gas,159559,manual,rwd,coupe,silver
3500,1998,jeep,cherokee,,6 cylinders,gas,273000,automatic,4wd,SUV,white
8950,2011,ford,f-150,excellent,6 cylinders,gas,164000,automatic,fwd,truck,white
4000,1972,mercedes-benz,benz,fair,6 cylinders,gas,88100,automatic,rwd,coupe,silver
50000,2019,toyota,tundra,like new,8 cylinders,gas,20010,automatic,4wd,truck,white
3500,2009,hyundai,accent,,4 cylinders,gas,111387,automatic,fwd,sedan,white
7480,2012,chrysler,300,,6 cylinders,gas,187910,automatic,rwd,sedan,blue
1200,2005,chevrolet,impala,fair,4 cylinders,gas,256806,automatic,fwd,sedan,blue
8888,2005,nissan,altima 3.5 sl,excellent,6 cylinders,gas,53320,automatic,fwd,sedan,brown
26990,2016,toyota,tacoma,,6 cylinders,gas,102089,automatic,rwd,pickup,grey
500,2021,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400,other,,bus,green
98900,2001,ferrari,360 modena,good,8 cylinders,gas,20187,automatic,rwd,convertible,red
15277,2017,mini,cooper,,,gas,94893,manual,fwd,,silver
17977,2012,toyota,4runner,,,gas,182263,automatic,4wd,,black
12250,2007,toyota,4runner sport edition,,,gas,189000,automatic,,,
35495,,,Series,,4 cylinders,gas,14000,automatic,rwd,sedan,white
16500,2011,ford,f250 super duty,excellent,8 cylinders,gas,201766,automatic,4wd,truck,white
5800,2001,ford,crown vic,,,gas,105000,automatic,,,
3999,2006,pontiac,grand prix,,6 cylinders,gas,207238,automatic,fwd,sedan,white
6000,2011,acura,mdx,good,6 cylinders,gas,197331,automatic,,SUV,black
9400,2008,mercedes-benz,benz c350,good,6 cylinders,gas,129473,automatic,rwd,sedan,silver
3850,2003,dodge,durango,,8 cylinders,gas,215604,automatic,rwd,SUV,blue
7900,2013,nissan,pathfinder,good,6 cylinders,gas,152400,automatic,fwd,SUV,white
4300,2012,kia,soul,,4 cylinders,gas,174053,automatic,fwd,wagon,silver
2800,2006,ford,taurus,,6 cylinders,gas,230108,automatic,fwd,sedan,white
27995,2012,ford,f250 super duty,,,gas,47380,automatic,,,white
3900,2010,chevrolet,cobalt,,4 cylinders,gas,162218,automatic,fwd,sedan,silver
7300,2007,lexus,rx350,good,6 cylinders,gas,181000,automatic,fwd,SUV,white
72900,2021,chevrolet,tahoe,good,8 cylinders,gas,19129,automatic,4wd,SUV,grey
28900,2017,audi,q7,good,6 cylinders,gas,94601,automatic,4wd,SUV,white
17000,2019,chevrolet,trax,good,4 cylinders,gas,14898,automatic,4wd,SUV,grey
